"","county","year","violent_crime","murder","rape_old","rape_new","robbery","assault","property_crime","burglary","larcenytft","mvtft","arson"
"1","Adams",2010,22,0,NA,3,0,19,223,63,151,9,0
"2","Bond",2010,6,0,NA,0,0,6,142,46,91,5,0
"3","Boone",2010,21,0,NA,5,0,16,295,72,211,12,137
"4","Bureau",2010,15,0,NA,0,0,15,221,61,157,3,1
"5","Cass",2010,2,0,NA,0,0,2,64,27,36,1,0
"6","Champaign",2010,148,4,NA,24,5,115,531,157,350,24,13
"7","Christian",2010,72,0,NA,0,0,72,148,28,113,7,3
"8","Clark",2010,3,0,NA,0,0,3,72,33,37,2,2
"9","Clay",2010,4,0,NA,0,0,4,64,20,43,1,8
"10","Clinton",2010,9,0,NA,5,0,4,162,19,141,2,0
"11","Coles",2010,5,0,NA,0,0,5,105,24,77,4,1
"12","Crawford",2010,1,0,NA,0,0,1,59,23,33,3,0
"13","De Kalb",2010,33,0,NA,8,1,24,268,58,199,11,2
"14","Douglas",2010,13,0,NA,0,0,13,28,3,24,1,0
"15","Du Page",2010,79,0,NA,11,13,55,1334,296,1006,32,0
"16","Edgar",2010,26,0,NA,5,0,21,65,29,32,4,0
"17","Effingham",2010,9,0,NA,0,0,9,166,54,99,13,2
"18","Franklin",2010,12,0,NA,0,1,11,283,102,172,9,4
"19","Fulton",2010,8,0,NA,0,0,8,133,34,89,10,0
"20","Gallatin",2010,3,0,NA,0,0,3,66,19,46,1,0
"21","Grundy",2010,2,0,NA,0,0,2,210,58,148,4,3
"22","Henry",2010,0,0,NA,0,0,0,79,19,56,4,0
"23","Iroquois",2010,5,0,NA,0,0,5,150,75,73,2,0
"24","Jackson",2010,47,0,NA,11,5,31,336,162,161,13,3
"25","Jefferson",2010,52,0,NA,4,2,46,339,130,177,32,7
"26","Jersey",2010,28,0,NA,9,1,18,137,31,105,1,0
"27","Johnson",2010,23,0,NA,1,0,22,105,28,67,10,1
"28","Kendall",2010,63,1,NA,9,3,50,399,109,283,7,7
"29","La Salle",2010,32,0,NA,15,1,16,400,130,258,12,10
"30","Lake",2010,83,2,NA,13,10,58,1714,459,1178,77,15
"31","Lawrence",2010,15,0,NA,0,0,15,24,14,9,1,0
"32","Livingston",2010,15,0,NA,6,2,7,278,54,215,9,47
"33","Macon",2010,66,0,NA,9,0,57,432,147,273,12,1
"34","Macoupin",2010,10,0,NA,3,0,7,245,75,167,3,2
"35","Madison",2010,90,1,NA,8,5,76,1108,316,766,26,4
"36","Marion",2010,18,0,NA,8,1,9,277,93,165,19,0
"37","Marshall",2010,0,0,NA,0,0,0,45,17,26,2,0
"38","Mason",2010,20,0,NA,5,0,15,132,31,99,2,2
"39","Massac",2010,9,0,NA,0,0,9,146,49,92,5,1
"40","McDonough",2010,6,0,NA,0,0,6,91,31,58,2,1
"41","McLean",2010,42,0,NA,15,4,23,206,67,122,17,3
"42","Mercer",2010,26,0,NA,8,0,18,152,57,88,7,0
"43","Montgomery",2010,108,0,NA,0,0,108,153,74,79,0,0
"44","Morgan",2010,10,1,NA,2,0,7,112,42,66,4,3
"45","Moultrie",2010,8,0,NA,2,1,5,54,13,41,0,0
"46","Ogle",2010,13,0,NA,6,0,7,308,74,221,13,1
"47","Peoria",2010,180,2,NA,40,19,119,743,180,522,41,12
"48","Perry",2010,22,3,NA,1,2,16,88,50,38,0,0
"49","Piatt",2010,22,0,NA,6,0,16,121,33,85,3,1
"50","Pike",2010,1,0,NA,1,0,0,7,3,4,0,0
"51","Pope",2010,13,0,NA,0,0,13,45,25,19,1,0
"52","Pulaski",2010,79,0,NA,5,2,72,104,38,55,11,0
"53","Putnam",2010,4,0,NA,3,0,1,48,13,35,0,0
"54","Richland",2010,6,0,NA,1,1,4,91,32,52,7,0
"55","Rock Island",2010,51,0,NA,11,4,36,313,95,209,9,1
"56","Sangamon",2010,170,1,NA,29,19,121,944,406,499,39,14
"57","Schuyler",2010,5,0,NA,0,0,5,10,2,8,0,0
"58","Shelby",2010,12,0,NA,0,0,12,66,28,38,0,0
"59","St. Clair",2010,85,1,NA,23,15,46,1050,281,679,90,17
"60","Stark",2010,11,0,NA,2,0,9,72,18,50,4,3
"61","Stephenson",2010,6,1,NA,1,1,3,208,56,144,8,1
"62","Tazewell",2010,1,0,NA,0,0,1,243,85,142,16,1
"63","Union",2010,15,0,NA,2,0,13,107,18,82,7,0
"64","Vermilion",2010,69,0,NA,13,4,52,487,168,304,15,0
"65","Warren",2010,11,0,NA,0,0,11,89,31,56,2,0
"66","Washington",2010,37,0,NA,0,0,37,66,27,38,1,0
"67","White",2010,6,0,NA,0,0,6,168,53,113,2,3
"68","Whiteside",2010,22,0,NA,11,0,11,233,81,144,8,0
"69","Williamson",2010,9,0,NA,1,1,7,359,139,207,13,8
"70","Winnebago",2010,120,1,NA,22,16,81,1200,399,735,66,3
"71","Woodford",2010,4,0,NA,0,1,3,141,33,101,7,0
"72","Adams",2011,25,0,NA,7,0,18,275,63,200,12,2
"73","Alexander",2011,8,0,NA,3,0,5,84,23,52,9,1
"74","Bond",2011,2,0,NA,0,0,2,139,42,93,4,0
"75","Bureau",2011,14,0,NA,2,2,10,159,40,116,3,1
"76","Carroll",2011,0,0,NA,0,0,0,69,12,57,0,0
"77","Cass",2011,6,0,NA,1,0,5,49,9,40,0,0
"78","Champaign",2011,126,3,NA,11,15,97,618,216,382,20,5
