"year","county","fips","violent_crime","murder","rape","robbery","aggravated_assault","property_crime","burglary","larceny_theft","motor_vehicle_theft","arson"
1982,"Adams",17001,127,3,6,21,97,2352,657,1609,72,14
1982,"Alexander",17003,214,1,5,25,183,573,162,392,12,7
1982,"Bond",17005,2,0,0,0,2,114,46,62,6,0
1982,"Boone",17007,19,0,0,5,14,1047,259,732,56,0
1982,"Brown",17009,0,0,0,0,0,54,8,46,0,0
1982,"Bureau",17011,24,0,1,1,22,420,95,296,24,5
1982,"Calhoun",17013,0,0,0,0,0,29,17,10,2,0
1982,"Carroll",17015,13,0,0,1,12,422,134,272,13,3
1982,"Cass",17017,5,0,0,1,4,111,2,106,3,0
1982,"Champaign",17019,1060,4,48,213,795,9458,2712,6415,285,46
1982,"Christian",17021,16,0,1,7,8,563,59,490,11,3
1982,"Clark",17023,21,0,1,1,19,156,41,107,8,0
1982,"Clay",17025,14,0,0,0,14,332,156,166,7,3
1982,"Clinton",17027,16,1,2,0,13,340,115,208,15,2
1982,"Coles",17029,54,2,6,10,36,1416,448,934,30,4
1982,"Cook",17031,32756,765,1401,18765,11825,262148,57423,158738,43580,2407
1982,"Crawford",17033,9,0,0,0,9,317,93,214,9,1
1982,"Cumberland",17035,8,0,0,0,8,121,17,100,3,1
1982,"DeKalb",17037,65,2,4,16,43,2408,523,1793,73,19
1982,"De Witt",17039,34,0,3,3,28,562,152,385,19,6
1982,"Douglas",17041,4,0,1,1,2,297,56,228,11,2
1982,"DuPage",17043,986,15,59,231,681,23220,6138,15210,1685,187
1982,"Edgar",17045,50,0,1,6,43,662,186,455,19,2
1982,"Edwards",17047,3,0,0,0,3,45,10,34,1,0
1982,"Effingham",17049,36,0,2,15,19,857,271,548,32,6
1982,"Fayette",17051,6,0,2,0,4,258,14,227,17,0
1982,"Ford",17053,11,0,2,6,3,293,60,212,14,7
1982,"Franklin",17055,42,0,1,1,40,785,235,512,34,4
1982,"Fulton",17057,59,0,4,7,48,1363,404,891,55,13
1982,"Gallatin",17059,4,0,0,0,4,85,12,73,0,0
1982,"Greene",17061,10,0,0,2,8,291,82,204,4,1
1982,"Grundy",17063,24,0,1,8,15,788,201,530,49,8
1982,"Hamilton",17065,0,0,0,0,0,0,0,0,0,0
1982,"Hancock",17067,10,0,0,4,6,414,123,273,13,5
1982,"Hardin",17069,7,0,5,0,2,72,12,58,1,1
1982,"Henderson",17071,2,0,0,0,2,155,22,126,7,0
1982,"Henry",17073,26,1,4,9,12,1293,266,988,27,12
1982,"Iroquois",17075,16,1,0,2,13,354,142,191,19,2
1982,"Jackson",17077,196,5,26,53,112,3721,703,2887,105,26
1982,"Jasper",17079,4,0,0,0,4,170,24,141,5,0
1982,"Jefferson",17081,66,1,5,15,45,2003,559,1356,82,6
1982,"Jersey",17083,10,1,1,0,8,483,109,353,18,3
1982,"Jo Daviess",17085,20,0,1,0,19,374,154,191,20,9
1982,"Johnson",17087,9,0,0,2,7,15,3,10,2,0
1982,"Kane",17089,1093,15,59,333,686,15235,5096,9520,517,102
1982,"Kankakee",17091,454,7,19,176,252,5533,1688,3583,241,21
1982,"Kendall",17093,56,0,5,6,45,878,278,544,45,11
1982,"Knox",17095,79,1,9,19,50,3059,900,2087,60,12
1982,"Lake",17097,1592,23,86,586,897,19594,4977,13494,999,124
1982,"LaSalle",17099,91,2,6,16,67,2823,766,1900,144,13
1982,"Lawrence",17101,26,0,0,0,26,338,5,314,19,0
1982,"Lee",17103,21,0,4,5,12,768,246,481,33,8
1982,"Livingston",17105,29,0,3,8,18,715,172,509,32,2
1982,"Logan",17107,43,0,2,5,36,1257,393,800,55,9
1982,"McDonough",17109,50,0,3,8,39,933,176,733,18,6
1982,"McHenry",17111,190,4,9,33,144,4815,1258,3325,214,18
