GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0500000US17001,17001,"Adams County, Illinois",67103,67103,67166,67201,67139,66996,67016,67014,66673,66234
0500000US17003,17003,"Alexander County, Illinois",8238,8238,8206,7991,7716,7234,7080,6759,6491,6315
0500000US17005,17005,"Bond County, Illinois",17768,17768,17787,17719,17532,17322,17130,16929,16841,16948
0500000US17007,17007,"Boone County, Illinois",54165,54167,54106,54130,53754,53788,53742,53584,53562,53513
0500000US17009,17009,"Brown County, Illinois",6937,6937,6919,6878,6888,6861,6834,6800,6744,6716
0500000US17011,17011,"Bureau County, Illinois",34978,34978,34957,34616,34337,34106,33846,33468,33433,33243
0500000US17013,17013,"Calhoun County, Illinois",5089,5089,5096,5048,4985,5007,4926,4862,4859,4833
0500000US17015,17015,"Carroll County, Illinois",15387,15388,15389,15220,15113,14964,14783,14645,14611,14518
0500000US17017,17017,"Cass County, Illinois",13642,13638,13635,13621,13424,13290,13078,12845,12681,12505
0500000US17019,17019,"Champaign County, Illinois",201081,201081,201541,202835,204099,205629,207081,208354,209267,209399
0500000US17021,17021,"Christian County, Illinois",34800,34800,34771,34703,34517,34151,33816,33470,33271,33102
0500000US17023,17023,"Clark County, Illinois",16335,16335,16291,16200,16258,16095,16045,15865,15848,15767
0500000US17025,17025,"Clay County, Illinois",13815,13815,13826,13720,13710,13551,13441,13395,13311,13269
0500000US17027,17027,"Clinton County, Illinois",37762,37762,37840,38021,37911,37727,37640,37654,37565,37614
0500000US17029,17029,"Coles County, Illinois",53873,53873,53865,53604,53299,53029,52712,52570,52412,51979
0500000US17031,17031,"Cook County, Illinois",5194675,5195075,5199477,5217049,5237174,5250498,5253756,5245831,5231356,5211263
0500000US17033,17033,"Crawford County, Illinois",19817,19817,19801,19770,19582,19429,19281,19257,19142,18961
0500000US17035,17035,"Cumberland County, Illinois",11048,11048,11056,11078,10945,10898,10926,10872,10892,10908
0500000US17037,17037,"DeKalb County, Illinois",105160,105160,105147,104410,104312,104129,104648,104407,104447,104733
0500000US17039,17039,"De Witt County, Illinois",16561,16561,16593,16549,16493,16376,16218,16187,16159,15942
0500000US17041,17041,"Douglas County, Illinois",19980,19982,19987,19869,19890,19862,19917,19852,19769,19748
0500000US17043,17043,"DuPage County, Illinois",916924,916769,918112,924421,928274,931775,932958,933115,931153,930128
0500000US17045,17045,"Edgar County, Illinois",18576,18576,18507,18386,18152,17899,17764,17554,17472,17328
0500000US17047,17047,"Edwards County, Illinois",6721,6721,6734,6667,6720,6686,6627,6508,6545,6486
0500000US17049,17049,"Effingham County, Illinois",34242,34242,34219,34258,34263,34205,34107,34196,34182,34132
0500000US17051,17051,"Fayette County, Illinois",22140,22142,22130,22371,22148,22190,22063,22049,21816,21784
0500000US17053,17053,"Ford County, Illinois",14081,14081,14081,13877,13877,13671,13536,13522,13342,13280
0500000US17055,17055,"Franklin County, Illinois",39561,39989,40027,40018,39851,39538,39442,39397,39092,39041
0500000US17057,17057,"Fulton County, Illinois",37069,37069,37074,36906,36586,36325,35992,35721,35517,35110
0500000US17059,17059,"Gallatin County, Illinois",5589,5589,5574,5490,5391,5387,5279,5221,5163,5080
0500000US17061,17061,"Greene County, Illinois",13886,13886,13890,13854,13655,13521,13407,13336,13119,13174
0500000US17063,17063,"Grundy County, Illinois",50063,50074,50149,50088,50156,50184,50279,50345,50269,50586
0500000US17065,17065,"Hamilton County, Illinois",8457,8457,8446,8423,8387,8346,8312,8246,8199,8194
0500000US17067,17067,"Hancock County, Illinois",19104,19104,19091,18996,18826,18542,18324,18217,18219,18020
0500000US17069,17069,"Hardin County, Illinois",4320,4320,4315,4290,4277,4267,4238,4156,4099,4046
0500000US17071,17071,"Henderson County, Illinois",7331,7328,7343,7215,7042,6963,7010,6994,6874,6795
0500000US17073,17073,"Henry County, Illinois",50486,50485,50453,50281,50251,49921,49829,49645,49524,49328
0500000US17075,17075,"Iroquois County, Illinois",29718,29718,29699,29495,29264,28936,28723,28534,28214,27876
0500000US17077,17077,"Jackson County, Illinois",60218,60218,60384,60330,58993,59643,59326,59289,59032,58284
0500000US17079,17079,"Jasper County, Illinois",9698,9698,9722,9749,9664,9602,9629,9633,9593,9578
0500000US17081,17081,"Jefferson County, Illinois",38827,38825,38757,38742,38650,38629,38376,38300,38308,38179
0500000US17083,17083,"Jersey County, Illinois",22985,22985,22969,22842,22670,22556,22442,22193,21945,21941
0500000US17085,17085,"Jo Daviess County, Illinois",22678,22677,22644,22628,22533,22386,22326,22064,21861,21594
0500000US17087,17087,"Johnson County, Illinois",12582,12582,12609,12855,12860,12869,12889,12876,12961,12900
0500000US17089,17089,"Kane County, Illinois",515269,515378,516144,519119,521000,523322,526475,529995,532553,534667
0500000US17091,17091,"Kankakee County, Illinois",113449,113449,113418,113477,112952,112207,111384,110756,110053,109605
0500000US17093,17093,"Kendall County, Illinois",114736,114805,115378,116796,118247,119604,121377,122892,124573,126218
0500000US17095,17095,"Knox County, Illinois",52919,52919,52905,52676,52271,52084,51889,51313,50945,50638
0500000US17097,17097,"Lake County, Illinois",703462,703395,704275,701519,702159,704424,704558,704945,704935,703520
0500000US17099,17099,"LaSalle County, Illinois",113924,113915,113814,113505,112907,112424,111682,111077,110507,110067
0500000US17101,17101,"Lawrence County, Illinois",16833,16903,16940,16898,16723,16725,16556,16495,16343,16168
0500000US17103,17103,"Lee County, Illinois",36031,36031,35976,35594,35202,35106,34897,34544,34399,34406
0500000US17105,17105,"Livingston County, Illinois",38950,38950,38858,38799,38508,37389,37012,36668,36475,36518
0500000US17107,17107,"Logan County, Illinois",30305,30305,30281,30252,30333,29793,29644,29412,29338,29245
