fips,county,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,Adams,70861,70500,71900,72700,72700,72300,71900,71300,71600,71300,71622,71325,71174,70392,69501,68547,67405,66829,66691,66090,66109,66689,66920,67558,68394,68636,68680,68715,68681,68430,68183,68014,67776,67267,66818,66920,67106,66943,66943,67039,67162,67172,67199,67046,66988,67013,66673,66234
3,Alexander,12015,12200,12300,12300,12100,12400,12700,12600,12200,12300,12264,12323,12056,11948,11945,11677,11415,11342,11137,10626,10579,10518,10452,10265,10053,9989,9889,9659,9632,9621,9684,9592,9592,9254,9186,8914,8730,8552,8461,8295,8206,8013,7750,7643,7492,6780,6491,6315
5,Bond,14012,14400,15000,15300,15500,15600,15800,16000,15700,16200,16224,16489,16132,15932,15748,15599,15538,15503,15321,14991,15027,15165,15251,15396,16076,17100,17267,17378,17588,17532,17659,17586,17735,17960,18101,17988,18004,18077,17916,17747,17773,17731,17621,17461,17269,16950,16841,16948
7,Boone,25440,25600,26400,27000,27400,27400,27600,28000,28700,29200,28630,29179,29213,29133,29175,29483,29629,29641,30111,30806,30981,31810,32901,33933,35268,36651,37956,38853,39864,40844,42052,43220,44585,46242,47893,49725,51797,53512,54211,54154,54144,54223,53880,53910,53869,53585,53562,53513
9,Brown,5586,5800,5600,5500,5600,5600,5700,5600,5400,5500,5411,5601,5588,5726,5821,5736,5615,5676,5659,5836,5851,6171,6225,6155,6347,6401,6765,6815,6922,6948,6977,6984,6925,6997,6968,6917,6875,6833,6896,6963,6911,6877,6912,6857,6832,6829,6744,6716
11,Bureau,38541,37300,37100,37800,37700,37800,37900,38200,38600,38500,39114,39501,38790,38399,38058,37704,37127,36625,36234,35688,35690,35723,35762,36036,36043,36023,35814,35884,35621,35527,35456,35181,35057,35080,34951,34977,35183,35153,35078,35058,34905,34640,34337,34084,33840,33587,33433,33243
13,Calhoun,5675,5500,5600,5700,5700,5800,5800,5900,5700,5800,5867,5928,5739,5699,5704,5551,5498,5380,5423,5322,5340,5311,5243,5271,5122,5074,5146,5155,5092,5093,5086,5045,4987,5122,5138,5163,5174,5160,5084,5082,5079,5067,5022,5042,4956,4899,4859,4833
15,Carroll,19276,19100,19500,19400,19300,19600,19300,19300,19300,19100,18779,18901,18548,18342,18058,17801,17485,17153,17006,16805,16800,16646,16618,16670,16843,16857,16925,16946,16959,16813,16611,16405,16312,16267,16102,15914,15866,15734,15638,15476,15364,15185,15003,14868,14715,14616,14611,14518
17,Cass,14219,14400,14600,14600,14600,14600,14900,15000,14800,14500,15084,15100,14785,14662,14434,14223,13891,13631,13562,13437,13447,13511,13450,13421,13553,13544,13612,13652,13735,13795,13675,13677,13549,13674,13640,13670,13611,13699,13660,13623,13639,13647,13422,13335,13156,12847,12681,12505
19,Champaign,163281,164300,163700,167300,168100,166300,169100,170700,171500,168000,168392,170530,171586,170311,170839,171355,173215,173857,174411,173025,173341,175468,178175,174600,172731,172859,175018,176626,177004,178652,180041,181956,184198,187013,188617,190659,193844,196621,197570,199968,201460,202706,204009,205761,207133,208861,209267,209399
21,Christian,35948,36500,37000,37000,36600,37000,37300,37300,37300,36500,36446,36756,36279,36391,36161,35700,35199,35098,34834,34418,34447,35039,35320,35392,35498,35706,35664,35600,35523,35398,35383,35240,35181,35172,35308,35165,35076,35034,34974,34808,34783,34720,34511,34171,33892,33642,33271,33102
23,Clark,16216,16300,16300,16100,16300,16400,16300,16600,16600,16600,16913,17167,17071,16897,16713,16555,16215,16103,16115,15921,15930,15943,16083,16290,16479,16530,16671,16768,16949,17011,16969,16829,16844,16750,16718,16728,16669,16682,16634,16431,16296,16219,16304,16203,16180,15979,15848,15767
25,Clay,14735,14800,14900,15000,15300,15300,15500,15500,15200,15500,15283,15712,15706,15595,15487,15180,15045,14729,14626,14460,14472,14550,14451,14472,14492,14574,14589,14607,14723,14575,14409,14260,14228,14194,14142,14134,14061,13975,13971,13826,13818,13731,13733,13572,13520,13428,13311,13269
27,Clinton,28315,28400,29100,29400,29700,29900,30600,31100,31500,32100,32617,33666,33597,33648,33935,33781,33869,33720,33835,33944,33962,34029,34237,34750,34885,35139,35227,35264,35589,35533,35565,35792,36003,36231,36495,36681,37051,37160,37472,37459,37819,38130,38057,37895,37857,37786,37565,37614
29,Coles,47815,49100,49800,50400,49900,50300,52300,52700,52200,52800,52260,53221,52857,52780,52685,52594,52272,52000,52030,51644,51671,51895,52505,52866,53421,52873,53132,53371,53455,53447,53114,52549,52454,52974,53182,53016,53359,53492,53454,53612,53931,53751,53631,53641,53320,52521,52412,51979
31,Cook,5493769,5523000,5505800,5452100,5428300,5398300,5385700,5367300,5340700,5287100,5253628,5220295,5222484,5213812,5220920,5201817,5187228,5172398,5140402,5105044,5109524,5149050,5199839,5235344,5262162,5283463,5306511,5322117,5345537,5365344,5373418,5360562,5328775,5294739,5252021,5207615,5165495,5154235,5161831,5181728,5198716,5214988,5232340,5246635,5246456,5238216,5231356,5211263
33,Crawford,19824,19500,19800,19800,19900,20300,20600,20700,20900,21000,20818,21318,21292,21229,21079,20896,20740,20404,20058,19464,19390,20046,20482,20649,20856,20856,20891,20782,20717,20623,20411,20363,20204,20106,20059,20051,19966,19886,19831,19845,19808,19783,19627,19514,19393,19414,19142,18961
35,Cumberland,9772,9700,10100,10300,10400,10600,10600,10900,11000,10900,11062,11107,10966,10955,10927,10879,10792,10753,10744,10670,10692,10773,10832,10940,11036,11096,11198,11186,11170,11186,11318,11238,11171,11066,11078,11057,11103,11077,11100,11044,11041,11068,10936,10871,10833,10898,10892,10908
37,DeKalb,71654,71700,72200,70900,71400,72600,73100,73700,72900,74000,74628,74853,74399,73711,72697,72978,74011,74844,75789,77932,78347,79564,80421,81682,82850,82810,83947,85078,86402,88010,89237,90545,91951,94096,96106,98438,101437,103746,104601,105146,105119,104520,104693,104802,105462,104352,104447,104733
39,De Witt,16975,17000,17400,17600,17400,17600,17700,17900,18100,18100,18108,18168,17861,17673,17584,17442,17136,16741,16620,16516,16554,16613,16677,16726,16854,16824,16736,16757,16781,16764,16800,16792,16673,16686,16671,16716,16792,16742,16733,16538,16578,16548,16492,16401,16284,16247,16159,15942
41,Douglas,18997,18900,19200,19300,19500,19800,20200,20000,19900,19800,19774,19950,19793,19763,19590,19552,19663,19665,19534,19464,19460,19457,19460,19545,19648,19777,19793,19909,19918,19905,19964,20032,20017,20010,20100,20101,20111,20061,19970,19949,19957,19826,19832,19829,19889,19823,19769,19748
