fips,county,region,rural_urban_2010,rural_percentile_2010
17001,Adams,Central,3,32.6
17003,Alexander,South,2,61.9
17005,Bond,South,2,60.7
17007,Boone,Northern minus Cook,3,19.4
17009,Brown,Central,3,41.1
17011,Bureau,Central,2,57.4
17013,Calhoun,South,1,100
17015,Carroll,Northern minus Cook,2,81.9
17017,Cass,Central,2,52.1
17019,Champaign,Central,3,12.7
17021,Christian,Central,3,43.5
17023,Clark,South,2,59.5
17025,Clay,South,2,64.7
17027,Clinton,South,3,48.8
17029,Coles,Central,3,24.3
17031,Cook,Northern - Cook,4,0
17033,Crawford,South,2,60.2
17035,Cumberland,South,1,100
17037,DeKalb,Northern minus Cook,3,20.3
17039,De Witt,Central,3,48.8
17041,Douglas,Central,2,61.6
17043,DuPage,Northern - Collar,4,0
17045,Edgar,Central,2,51.8
17047,Edwards,South,1,100
17049,Effingham,South,2,59.7
17051,Fayette,South,2,67
17053,Ford,Central,3,41.8
17055,Franklin,South,3,48.6
17057,Fulton,Central,2,60
17059,Gallatin,South,1,100
17061,Greene,Central,2,70.8
17063,Grundy,Northern minus Cook,3,24.4
17065,Hamilton,South,2,68.1
17067,Hancock,Central,2,71
17069,Hardin,South,1,100
17071,Henderson,Central,2,99.7
17073,Henry,Central,2,50.3
17075,Iroquois,Central,2,71.7
17077,Jackson,South,3,37.2
17079,Jasper,South,2,69.9
17081,Jefferson,South,2,58.8
17083,Jersey,South,2,60.6
17085,Jo Daviess,Northern minus Cook,2,72.6
17087,Johnson,South,1,100
17089,Kane,Northern - Collar,3,3.6
17091,Kankakee,Central,3,24.5
17093,Kendall,Northern minus Cook,3,10.4
17095,Knox,Central,3,24.3
17097,Lake,Northern - Collar,3,1.3
17099,LaSalle,Northern minus Cook,3,30.2
17101,Lawrence,South,2,58
17103,Lee,Northern minus Cook,2,53.2
17105,Livingston,Central,3,40.8
17107,Logan,Central,3,39.9
17109,McDonough,Central,3,29.5
17111,McHenry,Northern - Collar,3,9.9
17113,McLean,Central,3,16.5
17115,Macon,Central,3,15.3
17117,Macoupin,Central,2,58.5
17119,Madison,South,3,13.3
17121,Marion,South,3,45.1
17123,Marshall,Central,1,100
17125,Mason,Central,2,77.5
17127,Massac,South,2,50.5
17129,Menard,Central,2,75.7
17131,Mercer,Central,2,77.8
17133,Monroe,South,3,41.4
17135,Montgomery,Central,3,41.6
17137,Morgan,Central,3,36.2
17139,Moultrie,Central,2,69.2
17141,Ogle,Northern minus Cook,3,47.1
17143,Peoria,Central,3,14.6
17145,Perry,South,3,43.6
17147,Piatt,Central,2,67.7
17149,Pike,Central,2,72.3
17151,Pope,South,1,100
17153,Pulaski,South,1,100
17155,Putnam,Central,1,100
17157,Randolph,South,3,42.6
17159,Richland,South,3,43.5
17161,Rock Island,Central,3,10.9
17163,St. Clair,South,3,9.8
17165,Saline,South,3,43.7
17167,Sangamon,Central,3,14.1
17169,Schuyler,Central,2,57.6
17171,Scott,Central,1,100
17173,Shelby,Central,2,77.7
17175,Stark,Central,1,100
17177,Stephenson,Northern minus Cook,3,40.1
17179,Tazewell,Central,3,20.4
17181,Union,South,2,65.9
17183,Vermilion,Central,3,31.3
17185,Wabash,South,3,38.9
17187,Warren,Central,3,45.5
17189,Washington,South,2,73.6
17191,Wayne,South,2,69.9
17193,White,South,2,62
17195,Whiteside,Northern minus Cook,3,37.3
17197,Will,Northern - Collar,3,3.9
17199,Williamson,South,3,34.8
17201,Winnebago,Northern minus Cook,3,7.9
17203,Woodford,Central,2,54.9
